T(K)	v(ω₀)	w(ω₀)	E(meV)	Reχ(m₀/ω₀)	Imχ(m₀/ω₀)	μ(cm²V⁻¹s⁻¹)
183	10.698140201803486	10.41345416617802	-11.993826301160677	0.0	0.045531024049532576	117.47848614353967
184	10.718839338608397	10.432521063940191	-12.043391681805895	0.0	0.04602253528820846	116.22384000376094
185	10.73964773389115	10.451693092010057	-12.09303307527052	0.0	0.04651564565115582	114.99175606458068
186	10.760562103262757	10.470967013870803	-12.142749258422729	0.0	0.047010349689356565	113.78166325606405
187	10.781579248889146	10.490339678711475	-12.192539029823676	0.0	0.04750663985829176	112.59301423673703
188	10.802696056963999	10.509808018919788	-12.242401209274849	0.0	0.04800451134370032	111.42527292085698
189	10.8239094953175	10.529369047710304	-12.292334637376213	0.0	0.04850395658548954	110.2779268836878
190	10.845216611068402	10.549019856795024	-12.34233817509566	0.0	0.04900496952229253	109.15047657505315
191	10.866614528364593	10.568757614142442	-12.392410703345737	0.0	0.049507545066804264	108.04243617182973
192	10.888100446147595	10.588579561760312	-12.442551122572008	0.0	0.050011676896869244	106.95333789615499
193	10.909671636069126	10.60848301362904	-12.492758352350233	0.0	0.05051735923377336	105.88272742349066
194	10.931325440369168	10.628465353597257	-12.54303133099214	0.0	0.05102458201112412	104.83017336110738
195	10.953059269912645	10.648524033434725	-12.59336901516034	0.0	0.05153335251489811	103.79522225645675
196	10.974870602201381	10.66865657086083	-12.643770379492793	0.0	0.05204365260364025	102.77748602007323
197	10.996756979545623	10.688860547731267	-12.6942344162343	0.0	0.052555481041695745	101.77655445034428
198	11.01871600715157	10.709133608141704	-12.744760134877533	0.0	0.053068832872820784	100.79203721556938
199	11.040745351441265	10.729473456761768	-12.795346561811582	0.0	0.053583702117818675	99.82355765831753
200	11.062842738267353	10.749877857064899	-12.845992739978964	0.0	0.05410008397713779	98.87074815197307
201	11.085005951256832	10.770344629686283	-12.896697728539566	0.0	0.054617973375424116	97.93325250531869
202	11.107232830219202	10.790871650844544	-12.947460602542474	0.0	0.05513736531578124	97.01072489173207
203	11.129521269564469	10.811456850773377	-12.998280452606243	0.0	0.05565825487747971	96.10282948466008
204	11.151869216768882	10.832098212200517	-13.049156384604487	0.0	0.056180637213914586	95.20924010771787
205	11.174274670928744	10.852793768914108	-13.100087519360018	0.0	0.05670450755106312	94.32963989833466
206	11.19673568130968	10.87354160432465	-13.151072992345	0.0	0.05722986118658538	93.46372098414182
207	11.219250345973016	10.894339850103322	-13.202111953388624	0.0	0.057756693487307	92.61118417521074
208	11.241816810420598	10.915186684838893	-13.253203566390416	0.0	0.05828500016438188	91.77173823142444
209	11.264433266319731	10.936080332773775	-13.304347009040724	0.0	0.05881477619598587	90.94510127999516
210	11.287097950190565	10.957019062503244	-13.355541472546836	0.0	0.059346017062885024	90.13099855102817
211	11.309809142223465	10.978001185803189	-13.406786161365467	0.0	0.05987871902763488	89.32916175838004
212	11.332565165091092	10.999025056453	-13.458080292941915	0.0	0.060412877332494064	88.53933158100352
213	11.355364382740412	11.020089069038441	-13.50942309745348	0.0	0.06094848801285218	87.76125466436936
214	11.37820519933936	11.041191657907843	-13.560813817560023	0.0	0.061485546731147776	86.99468512970857
215	11.40108605817128	11.062331296076582	-13.612251708158553	0.0	0.06202404935122006	86.23938349486312
216	11.424005440555291	11.083506494157339	-13.66373603614566	0.0	0.06256399179281164	85.4951166737854
217	11.446961864856421	11.10471579937943	-13.71526608018244	0.0	0.06310537003024991	84.76165776922235
218	11.46995388548993	11.125957794602138	-13.766841130466217	0.0	0.0636481800914138	84.0387858729327
219	11.492980091938204	11.147231097340907	-13.818460488506982	0.0	0.06419241790845588	83.32628606593717
220	11.51603910785113	11.168534358875975	-13.870123466908767	0.0	0.06473807988452857	82.6239484928328
221	11.53912959009876	11.189866263313961	-13.921829389155473	0.0	0.06528516209545752	81.93156922982284
222	11.562250227956838	11.21122552678115	-13.973577589401652	0.0	0.06583366058195916	81.24894971084113
223	11.585399742164238	11.23261089648963	-14.02536741226845	0.0	0.06638357237261912	80.57589531156992
224	11.608576884185572	11.254021150007096	-14.077198212642251	0.0	0.06693489285166435	79.91221842631488
225	11.631780435339856	11.275455094393731	-14.129069355480041	0.0	0.06748761877185165	79.25773460739079
226	11.655009206059487	11.296911565468351	-14.180980215616971	0.0	0.06804174655206685	78.61226451339093
227	11.678262035123216	11.318389427048736	-14.232930177579128	0.0	0.06859727265355815	77.97563330131513
228	11.701537788919564	11.339887570222196	-14.28491863540051	0.0	0.0691541935787054	77.34767048966458
229	11.72483536072393	11.361404912629569	-14.33694499244319	0.0	0.06971250587029895	76.72820982587993
230	11.748153670012329	11.382940397785976	-14.389008661221828	0.0	0.07027220611100356	76.11708915833545
231	11.771491661799818	11.4044929944254	-14.441109063231817	0.0	0.0708332909437774	75.51415029057151
232	11.794848305962173	11.426061695829278	-14.49324562878167	0.0	0.07139575700554819	74.91923893304356
233	11.818222596627963	11.447645519224519	-14.545417796827637	0.0	0.07195960099836303	74.33220451049837
234	11.841613551554511	11.469243505165677	-14.59762501481338	0.0	0.07252481965984646	73.75290008291636
235	11.865020211487408	11.490854716900838	-14.649866738512223	0.0	0.07309140976419623	73.18118223688096
236	11.888441639651612	11.51247823986795	-14.702142431872712	0.0	0.07365936812163348	72.61691098234152
237	11.911876921138248	11.534113181087708	-14.754451566868264	0.0	0.07422869146079956	72.05994976658
238	11.935325162350024	11.555758668614605	-14.806793623348486	0.0	0.07479937688979023	71.51016492804884
239	11.958785490499338	11.577413851040193	-14.859168088895302	0.0	0.07537142121649647	70.96742626810747
240	11.982257053061437	11.59907789695188	-14.911574458681308	0.0	0.07594482139239699	70.43160652478242
241	12.00573901728565	11.62074999444901	-14.964012235330488	0.0	0.07651957440548716	69.90258139126054
242	12.029230569697907	11.642429350650803	-15.016480928783274	0.0	0.07709567373765341	69.38023261987243
243	12.052730915628558	11.664115191228797	-15.06898005616349	0.0	0.07767312710506726	68.86443197618124
244	12.07623927875088	11.685806759950403	-15.121509141647756	0.0	0.07825192079223164	68.35507325253018
245	12.09975490060845	11.707503318211057	-15.174067716338667	0.0	0.07883205554242659	67.85203989797593
246	12.123277040214987	11.729204144638397	-15.226655318139956	0.0	0.0794135284881246	67.35522120395461
247	12.14680497360941	11.750908534652028	-15.279271491634136	0.0	0.07999633678920555	66.8645089586896
248	12.170337993427623	11.772615800039716	-15.33191578796296	0.0	0.08058047763258723	66.37979737837954
249	12.193875408519276	11.79432526857832	-15.38458776471034	0.0	0.08116594823167651	65.9009830407756
250	12.217416543563683	11.816036283654098	-15.437286985787402	0.0	0.08175274582592187	65.42796482082402
251	12.240960738655987	11.837748203852867	-15.490013021320229	0.0	0.08234086787987943	64.96064367098113
252	12.264507348970783	11.859460402627567	-15.54276544753983	0.0	0.08293031127759018	64.49892319829736
253	12.288055744382707	11.881172267922967	-15.59554384667402	0.0	0.0835210735267622	64.04270864873712
254	12.311605309116452	11.902883201829386	-15.648347806841969	0.0	0.0841131518357638	63.591907581210094
255	12.335155441419756	11.92459262025945	-15.701176921950767	0.0	0.0847065438843795	63.146429220453214
256	12.3587055532064	11.946299952594826	-15.754030791593992	0.0	0.08530124688916906	62.70618511419849
257	12.38225506977231	11.968004641405683	-15.806909020951908	0.0	0.08589725825949866	62.27108858055655
258	12.405803429423596	11.989706142082722	-15.85981122069485	0.0	0.08649457542708426	61.84105478861353
259	12.429350083219173	12.011403922582735	-15.912737006887305	0.0	0.08709319584565728	61.41600071012776
260	12.452894494672504	12.033097463133815	-15.965686000894468	0.0	0.08769311699058109	60.99584507275181
261	12.476436139426465	12.054786255913639	-16.018657829290913	0.0	0.0882943363583803	60.58050831474991
262	12.499974504993872	12.076469804793257	-16.07165212377055	0.0	0.08889685146645666	60.16991254096872
263	12.523509090481102	12.09814762506365	-16.12466852105895	0.0	0.08950065985251793	59.76398148034102
264	12.547039406316959	12.119819243167642	-16.17770666282669	0.0	0.09010575907452327	59.36264044432814
265	12.570564973993774	12.141484196444399	-16.230766195604875	0.0	0.09071214685660284	58.965816191735755
266	12.594085325815696	12.16314203288014	-16.283846770702947	0.0	0.0913198203584703	58.57343736449924
267	12.617600004647226	12.184792310859917	-16.336948044126537	0.0	0.09192877763594458	58.18543350034422
268	12.641108563675777	12.206434598932821	-16.390069676498356	0.0	0.09253901617951621	57.801735945926154
269	12.664610566163542	12.22806847556674	-16.443211332980024	0.0	0.09315053364396508	57.42227734677848
270	12.688105585251146	12.249693528954488	-16.496372683195794	0.0	0.09376332770110415	57.04699170826458
