T(K)	v(THz2π)	w(THz2π)	E(meV)	M(mₑ)	R(Å)	κ(N/m)	ReΣ(ps⁻¹)	ImΣ(ps⁻¹)	μ(cm²V⁻¹s⁻¹)
48.0	8.945495838970013	6.223046295792683	-15.879179601732412	0.24796136494601503	31.613567518012395	0.00017821065241385738	1.7693519271145995e-15	35.24050120075534	415.9087675741459
49.0	9.080611824034186	6.33326315210434	-15.993196040783626	0.24669275811818608	31.29450635428581	0.00018274924465780889	1.7023173799055218e-15	36.051103660233615	406.5571351500306
50.0	9.216067206927008	6.444132092824014	-16.10885864177239	0.2454390403148557	30.984874271014046	0.00018733128976541614	1.6389304053224908e-15	36.84320654967132	397.8164442158772
51.0	9.351840713865316	6.555620690355007	-16.226095594858077	0.2442012112025113	30.684226237529575	0.00019195622384349492	1.5789432071885145e-15	37.61925923209565	389.60983608620825
52.0	9.487914654859974	6.667700616279783	-16.344840523966916	0.24298004156379632	30.392143504046224	0.00019662355811108406	1.522127178835024e-15	38.37864989642614	381.9007042367643
53.0	9.624269634875231	6.780342439912037	-16.465032002856855	0.24177620295681326	30.108235579822747	0.0002013327462526374	1.468272207352166e-15	39.12196353328229	374.6446266847606
54.0	9.76088958352659	6.893520510786973	-16.5866131189283	0.2405901826325456	29.832134224797674	0.00020608331394950997	1.4171840852722944e-15	39.84994666511741	367.8005781606528
55.0	9.897759069962076	7.007210304356194	-16.709531079720406	0.23942235495817518	29.56349372657144	0.00021087479205383092	1.3686836110261701e-15	40.56430097333694	361.323456127972
56.0	10.034863720133405	7.121388800659846	-16.83373685759315	0.23827298706362074	29.30198887589635	0.00021570672849238311	1.3226052050679664e-15	41.26192897810305	355.21445036850986
57.0	10.172190128876656	7.2360343709284844	-16.959184868588753	0.23714225314662774	29.04731348494014	0.00022057868718402198	-1.8130256305455754e-14	41.94511329092158	349.42886723049145
58.0	10.309725780710517	7.351126674241111	-17.085832681910176	0.2360302470630863	28.799179028112867	0.00022549024705509972	-1.753930238250902e-14	42.61455369158508	343.9396204681028
59.0	10.447458978382297	7.466646563252243	-17.2136407568447	0.23493699340028795	28.557313394442644	0.00023044100114259257	-1.6976646548290823e-14	43.27022920304198	338.7278896611659
60.0	10.585378778300619	7.58257599809469	-17.342572204310606	0.23386245720952106	28.321459741498284	0.000235430555775624	-1.644056360261364e-14	43.91166335326724	333.77996422471716
61.0	10.723474931942437	7.6988979675125995	-17.472592570512596	0.23280655255689836	28.091375441923727	0.0002404585298224802	-1.5929452950904934e-14	44.53435401432075	329.11296789862985
62.0	10.861737832801458	7.81559641672601	-17.60366964046484	0.23176915002826004	27.866831114109118	0.00024552455400281574	-1.544182840944976e-14	45.159619634675245	324.55617522179705
63.0	11.000158468037858	7.932656181150019	-17.735773259385684	0.23075008331474017	27.647609729785664	0.0002506282702508989	-1.4976308925738337e-14	45.763093067042945	320.2762846827048
64.0	11.138728374549059	8.050062925624141	-17.868875170180093	0.229749154984359	27.433505791609377	0.00025576933113077697	-1.453161012578153e-14	46.3578709882674	316.1670954822499
65.0	11.27743959878612	8.167803088418587	-18.002948865420368	0.22876614153968705	27.22432457469517	0.0002609473992925598	-1.4106536609805438e-14	46.94084208360399	312.2405302614045
66.0	11.41628466016984	8.285863829820359	-18.137969452401496	0.22780079784214163	27.01988142648346	0.00026616214697168	-1.3699974924812854e-14	47.51300946649188	308.48042647010107
67.0	11.555256517467948	8.404232984594826	-18.27391353000105	0.22685286098308835	26.82000111994865	0.0002714132555202811	-1.331088715051165e-14	48.07486452823965	304.8751892892344
68.0	11.694348538159804	8.522899018306905	-18.4107590762053	0.22592205366203566	26.624517255540418	0.00027670041497547657	-1.2938305040428274e-14	48.63487481642573	301.3646787089339
69.0	11.83355447014242	8.641850986790107	-18.54848534528186	0.2250080871367022	26.433271707765837	0.00028202332365237124	-1.2581324666867763e-14	49.17627954080937	298.0468136256274
