mp_id	formula	mode	eps_total(ϵ0)	eps_optic(ϵ0)	eps_ionic(ϵ0)	band_mass(me)	volume(Å^3)	alpha	v_gs	w_gs	v_rt	w_rt	energy_gs(meV)	energy_rt(meV)	AHC_alpha	AHC_ZPR(meV)	imag_memory	mobility(cm^2/V/s)
mp-21511	K2NaInP2	single	16.85806428710319	6.7991741242284	10.058890162874789	0.15752961	322.1890881339999	0.7929809999999995	19.581889183082374	18.398082765386018	44.527030864726555	41.071586235927086	-21.021152819250172	-37.722716197759205	0.792981	-20.81577	6.801045152954372	261.27849978040405
mp-2172	AlAs	single	12.366812127313095	9.81030249198737	2.5565096353257246	0.332476785664	45.6764927096	0.20430799999999993	35.1471393005032	34.61139013135156	47.6228309384558	46.4770544535277	-9.85174946212964	-13.67018912010005	0.204308	-9.831305	1.4960956682570743	562.7569109265644
mp-2175	TlF	single	-29.093400762203704	4.729543049754447	-33.822943811958154	0.293487645025	42.1468546205	2.964253	22.66737844215286	17.04092719725786	52.06696737233918	36.815114536728395	-84.9299121686316	-148.83739064114653	2.964253	-81.393681	39.87027629007365	23.92227403984787
mp-2176	ZnTe	single	12.78757000409706	9.642290870591424	3.1452791335056354	0.08221065217599999	55.8632626624	0.1697239999999999	18.433023496631098	18.19989623015935	42.7354116220504	42.0345896475318	-4.295927306917509	-7.8505720836362345	0.169724	-4.288322	1.2998484811751705	2619.513887489423
mp-21855	VCu3Se4	single	9.553919556594328	8.938126193033453	0.6157933635608752	1.515996262564	166.896501804	0.22382100000000024	15.64898024539725	15.387478575700422	42.31226767142961	41.45721336418864	-4.80406111760532	-9.48364947888309	0.223821	-4.792166	1.6720359678704602	110.43272368822012
mp-22003	NaN3	multi	6.364446276264224	2.2700336095301408	4.094412666734081	1.5248989774240003	58.4550027265	6.833259999999997	46.2705985048894	13.921921794997113	87.37843725833983	28.537591050574495	-293.3247830367879	-444.65016693125045	6.83326	-258.293701	296.0453662474195	0.6200720970520812
mp-22003	NaN3	single	6.718025157695439	2.2700336095301408	4.4479915481653	1.5248989774240003	58.4550027265	6.833261	50.94600825947236	15.039736999127035	89.53771583917572	25.95923219899771	-297.2819842461405	-448.78887981036274	6.833261	-258.293701	307.6745306016401	0.5966352519093119
mp-2201	PbSe	single	-347.70410823731424	21.71844296079811	-369.4225511981124	0.094342351104	56.812954836299994	0.422402	12.670814492684492	12.268355419797162	42.209032180439	40.74634588316172	-7.30901998376476	-15.998471371653158	0.422402	-7.27229	3.053510940273415	971.7070514555261
mp-22255	RbInTe2	single	12.310569998649544	7.467511301480665	4.843058697168882	0.277422370681	282.525704422	0.7868020000000001	12.620799886741745	11.863942443139788	42.952597643270444	40.2056950461876	-13.44577331041809	-29.64011220225392	0.786802	-13.314598	5.967093457459426	169.09750949055288
mp-2229	ZnO	single	266.93648280703707	5.435627815750301	261.50085499128676	0.18861301561600002	19.320086296	1.141155	48.39603407030851	44.12869658423223	56.214783033299014	48.31554619834467	-74.0984194473419	-93.35140602300757	1.141155	-73.043004	8.525229580244417	174.08597645223264
mp-223	GeO2	multi	8.509879004587411	3.2093476464691166	5.300531358118294	0.40619335288900005	122.445559789	1.8604969999999992	52.851542516059205	45.798952742053295	64.98370997219058	51.950129740738845	-125.00080614229432	-156.9285655410486	1.860497	-122.42933500000001	14.783311689244124	46.61621241142029
mp-223	GeO2	single	9.210328963733954	3.2093476464691166	6.000981317264835	0.40619335288900005	122.445559789	1.860496	51.30540835827975	43.70854388713703	60.51420642728692	46.530099139483355	-125.48662968704069	-157.17176250344187	1.860496	-122.429332	16.068869092348947	42.8867765297911
mp-22304	Cd(InSe2)2	multi	13.658151635738578	8.66162652008736	4.996525115651217	0.097817566564	197.42580602299998	0.3366299999999999	16.34765640260233	15.953171437242816	42.90178008026775	41.62525458027979	-7.347715069933365	-14.175432531806107	0.33663000000000004	-7.3211010000000005	2.461700584535602	1162.4905908795997
mp-22304	Cd(InSe2)2	single	13.808466394053788	8.66162652008736	5.146839873966427	0.097817566564	197.42580602299998	0.3366299999999999	15.957824228615076	15.555135768540865	42.62152925449008	41.31816970488161	-7.349751635048544	-14.399575535487708	0.33663	-7.321098	2.5695891524740806	1113.681447608117
mp-22313	Na2PtO2	multi	10.449777473016194	4.4228501969743945	6.026927276041798	0.961899985225	67.7095209272	2.369183999999999	34.50703087725412	28.403502854363	56.93982616354211	42.92948667444806	-104.66101297449309	-150.69968828614424	2.369184	-101.778811	24.837826072512264	11.716503594254712
mp-22313	Na2PtO2	single	11.066828272276192	4.4228501969743945	6.643978075301797	0.961899985225	67.7095209272	2.3691839999999997	34.32650754250059	27.706525171763534	54.79723108086068	39.85940084163872	-105.15209900737534	-153.04352276307054	2.369184	-101.778812	28.86481734481214	10.081909577867707
mp-22323	In2O3	single	21.175000927644405	5.178256271828113	15.996744655816292	0.149700121921	127.854715111	0.8234939999999997	47.74133243435375	44.74064391089578	54.78651167224865	49.24758510323863	-53.17271883572643	-66.94256035113493	0.823494	-52.641912	5.742447239179655	325.62846505938285
mp-22450	Li2PbO3	multi	93.58605173194056	5.5699878725403345	99.15603960448088	0.33539503168900003	128.773978704	1.8070429999999993	41.64072379413292	35.95700968425577	57.00668745791728	45.330380150815344	-97.56508137081477	-130.8785675911139	1.807043	-95.439035	16.645250231813012	50.14118301937557
mp-22450	Li2PbO3	single	-67.2400529675395	5.5699878725403345	-72.81004084007982	0.33539503168900003	128.773978704	1.8070459999999995	41.07784474191588	35.18361982650315	55.44811230602902	43.37029455655371	-97.74992376125451	-131.59353573868356	1.807046	-95.439036	17.945917217358442	46.50709842065632
mp-22473	NaInSe2	multi	23.071410389880832	7.872811999202351	15.198598390678479	0.352013196249	95.24053082709999	1.1549839999999993	19.041187601168044	17.34274730265167	45.333348430619495	40.30418592370942	-29.491823854053546	-53.91078937362419	1.154984	-29.061177	10.469841233562828	75.95257271457412
mp-22473	NaInSe2	single	23.092485560307313	7.872811999202351	15.219673561104964	0.352013196249	95.24053082709999	1.1549839999999996	19.035010774972882	17.335325317987323	45.32420496696607	40.29215295132067	-29.492591450712208	-53.93059489362537	1.154984	-29.061177	10.48405538758527	75.84959714576473
mp-22483	NaInTe2	multi	27.204496435671402	10.282620723748304	16.921875711923104	0.208745730769	240.891837191	0.8016719999999997	12.507372375812613	11.763988183018213	43.043980529290785	40.31013715759055	-13.41964464872016	-29.55244599297376	0.8016719999999999	-13.292075	5.893988922576314	227.51739803366036
mp-22483	NaInTe2	single	27.778797595964594	10.282620723748304	17.496176872216292	0.208745730769	240.891837191	0.8016729999999997	12.372642799319099	11.616217444689447	42.934702521236666	40.16283676482199	-13.425725627271564	-29.885330523442697	0.801673	-13.292076	6.048466554288921	221.7066113646438
