mp_id	formula	spgroup	groups	mode	eps_total(ϵ0)	eps_optic(ϵ0)	eps_ionic(ϵ0)	band_mass(me)	volume(Å^3)	alpha	v_gs	w_gs	v_rt	w_rt	energy_gs(meV)	energy_rt(meV)	AHC_alpha	AHC_ZPR(meV)	imag_memory	mobility(cm^2/V/s)
mp-23059	Rb2SnCl6	225	1-14-17	multi	12.512566599026586	2.9727891644380424	9.539777434588542	10.629803874243999	258.037281302	26.125112999999992	316.04562354835855	3.1905442096589134	341.9890948255578	10.056974154783521	-1058.0430103417693	-1391.2045418933017	26.125113000000002	-401.16495399999997	18531.272693336534	0.0014210554718994705
mp-23059	Rb2SnCl6	225	1-14-17	single	14.883379172476829	2.9727891644380424	11.910590008038787	10.629803874243999	258.037281302	26.125112999999992	351.95127051849397	3.797868850827251	375.3723768944352	8.651512120582847	-1155.571536577921	-1498.10654481921	26.125113	-401.164953	270545.36604731815	9.733660142425552e-5
mp-23060	Cs2PtI6	225	1-10-17	multi	10.34743514232716	6.001420390631598	4.346014751695566	4.451188526656	358.370315995	6.3228709999999975	8.820372886708078	3.2063749943125535	51.70493719828302	34.10226594079643	-53.67590752780823	-162.61698423444008	6.322871000000001	-47.6804	64.9475001284887	0.9682847710316499
mp-23060	Cs2PtI6	225	1-10-17	single	10.408853354105704	6.001420390631598	4.407432963474108	4.451188526656	358.370315995	6.322870999999998	9.057516277993678	3.2515910407808026	51.786601836524746	33.99699135086112	-53.891805906269084	-163.94492009570368	6.322871	-47.6804	66.32656398807548	0.9481521657340487
mp-23067	K2PdCl6	225	1-10-17	multi	11.963304796452872	3.980928532333818	7.982376264119052	9.861703912225	225.92274778599997	16.650177	122.03131946233259	3.40876351775969	149.91151764183795	15.082376900442815	-442.02866519660466	-708.4724678707389	16.650177	-234.358415	3518.566802134401	0.008067217569303654
mp-23067	K2PdCl6	225	1-10-17	single	12.397299082251452	3.980928532333818	8.416370549917632	9.861703912225	225.92274778599997	16.650176999999996	127.50890597462767	3.6084285399834606	154.31404180897778	14.403254267795022	-454.1049551479277	-723.8839174429766	16.650177	-234.358415	3766.3343806796343	0.0075365172223038615
mp-23070	BaBrF	129	2-17-17	multi	12.098305273999905	3.354318493918159	8.743986780081745	2.942350147584	147.754593528	8.456989999999996	52.08098743960292	8.469482789088783	91.58373014663415	23.900255578512304	-277.96577191195684	-458.0226918904688	8.456990000000001	-228.46591	476.816829112819	0.19952421038725474
mp-23070	BaBrF	129	2-17-17	single	12.74977956190165	3.354318493918159	9.395461067983492	2.942350147584	147.754593528	8.456991	55.98660624633387	8.753577237426684	93.4758878764624	22.920347937901504	-283.31070533334804	-466.99560902372696	8.456991	-228.465909	534.3888791569618	0.17802859497782716
mp-23091	Ba2BiSbO6	148	2-15-15-16	multi	155.7525597757043	5.531225523709818	150.22133425199448	1.3401164779560002	156.445515219	3.348213999999999	44.617442511990596	32.74519337116352	65.9005448699501	41.28096274410853	-183.72232283096048	-247.5247085313776	3.348214	-175.77883300000002	44.59859060835218	4.6835789777293035
mp-23091	Ba2BiSbO6	148	2-15-15-16	single	885.7677428898237	5.531225523709818	880.2365173661138	1.3401164779560002	156.445515219	3.348212	44.38344750194851	31.694946466162747	64.48711201018303	38.43606157665141	-184.72824414399955	-250.1227394644025	3.348212	-175.778834	50.064843834936426	4.172209586797348
mp-23092	Ba2TaBiO6	148	2-5-15-16	multi	46.750775251290435	5.62898440705255	52.379759658342984	0.4242346768890001	155.635305302	1.9516999999999995	51.027021585497536	43.57415556409391	61.93109401527653	47.99305725836699	-126.27502966857928	-159.4033324475915	1.9517000000000002	-123.245504	16.21231145244181	40.699626771508086
mp-23092	Ba2TaBiO6	148	2-5-15-16	single	-37.75249140103559	5.62898440705255	-43.38147580808814	0.4242346768890001	155.635305302	1.9516999999999993	49.44171209998681	41.73164341602154	59.98702065760665	45.491463943043975	-126.56410221908891	-160.396788080057	1.9517	-123.245506	17.87181376794013	36.92042865853336
mp-23097	K2Os(Cl2O)2	139	1-17	multi	19.304100395375023	3.058896560386534	22.362996955761556	3.019225958464	210.094469262	19.762880999999993	192.88089813086486	3.615930478339916	219.82787509925566	12.36916833775832	-674.1844123941613	-969.849273641586	19.762881000000004	-316.8122909999999	7077.800494401491	0.013099285151749485
mp-23097	K2Os(Cl2O)2	139	1-17	single	-15.749989084677877	3.058896560386534	-18.808885645064414	3.019225958464	210.094469262	19.762882999999995	207.35034562042452	4.036470006212432	232.54632780726007	11.25919610458743	-709.8868089013932	-1011.0234268426492	19.762883	-316.812292	6881.147858031863	0.013473642600941959
mp-23116	CuBiSeO	129	11-15-16-16	multi	177.1028388936591	15.021744817027706	162.08109407663136	0.7005221287840001	135.325276768	1.1595149999999994	22.65508916483871	20.824247420799995	47.39725373557309	42.28344176195149	-33.84100917017155	-56.362295470686085	1.1595149999999999	-33.40782900000001	9.39153622459634	42.54838036571479
mp-23116	CuBiSeO	129	11-15-16-16	single	354.7866316209354	15.021744817027706	339.76488680390764	0.7005221287840001	135.325276768	1.1595139999999997	21.80053509214533	19.8459242674597	46.10933246499998	40.69475537680155	-33.91724157305625	-58.148050228264665	1.159514	-33.40783	10.801954489040938	36.992810505535886
mp-23120	Cs2NaYCl6	225	1-1-3-17	multi	30.99817980642942	2.851559871391929	28.146619935037478	12.791810046096	302.631194988	33.285344999999985	592.8705427646476	3.5464916253052854	618.7830236910787	8.496705258522608	-1927.7197355558494	-2303.4066078296373	33.285345	-586.757685	35493.30258528819	0.000616542638379713
mp-23120	Cs2NaYCl6	225	1-1-3-17	single	63.7064662367276	2.851559871391929	60.85490636533567	12.791810046096	302.631194988	33.28534499999999	660.5468331711063	4.321498770176524	683.7546317681035	7.029379432677953	-2122.198769592509	-2507.387303244073	33.285345	-586.757685	3917.272183834848	0.005586319610632822
mp-23127	Ba2BiSbO6	12	2-15-15-16	multi	204.86494480003904	5.535456837281317	210.40040163732036	1.207658134225	156.411317917	3.344635999999999	45.301664333155	33.182100279989236	66.22104340404414	41.28250847236296	-186.75357103909596	-250.39448738807909	3.344636	-178.61181299999998	44.7584251053612	5.178723476766172
mp-23127	Ba2BiSbO6	12	2-15-15-16	single	-99.77168551697206	5.535456837281317	-105.30714235425337	1.207658134225	156.411317917	3.344633999999999	45.13646063935627	32.248873801251065	64.88020656812787	38.60547016078957	-187.6932457082051	-252.65625076026862	3.344634	-178.611814	49.58748757877762	4.67439505798669
mp-23137	Ba2YBiO6	225	2-3-15-16	multi	42.33646928173679	4.822250396568918	47.15871967830571	4.357977730929	157.86300465	8.815825999999998	86.1079856058571	12.877277976738608	129.91959733869615	24.487035189180215	-473.2412156441179	-659.68651903045	8.815826000000001	-390.740678	629.8963203315873	0.10197352959280348
mp-23137	Ba2YBiO6	225	2-3-15-16	single	-29.709739839970506	4.822250396568918	-34.53199023653943	4.357977730929	157.86300465	8.815826999999999	100.78346964672991	13.933387899857511	138.75674401355246	20.834438643871067	-493.7542628602428	-684.7597191467398	8.815827	-390.740677	574.2956695261216	0.11184613513581358
